VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
80,small,low,80,Low Density,4.415625,3.559481523241267,1.589625,1.6446418451306202,0.17662500000000003,-0.32216823039602066,-0.4649508239077233
80,small,low,80,Medium Density,8.83125,10.50866087111056,3.17925,2.9864913335899668,0.35325000000000006,0.6725039179855621,-0.5236474587178284
80,small,low,80,High Density,17.6625,17.47154569029551,6.3585,6.122454720735852,0.7065000000000001,-0.01738235947369966,0.1827060201612964
80,small,normal,80,Low Density,35.325,36.96708800732138,12.717,13.66613830666428,1.4130000000000003,1.6270346467727597,-0.7169082088741726
80,small,normal,80,Medium Density,70.65,70.34539444703518,25.434,26.202749009699147,2.8260000000000005,2.7096833477590256,-0.025729369853257585
80,small,normal,80,High Density,141.3,141.68877310330512,50.868,50.514349280534,5.652000000000001,5.816902237906316,-0.4129236486415067
80,medium,low,80,Low Density,4.415625,5.31600660041602,1.589625,2.649572617586561,0.17662500000000003,-0.019218781030525045,-0.23682810318987235
80,medium,low,80,Medium Density,8.83125,10.887555465123292,3.17925,2.9784722892570272,0.35325000000000006,0.6938616287165025,-0.5850237091133552
80,medium,low,80,High Density,17.6625,18.825383653784556,6.3585,6.879230683652023,0.7065000000000001,0.9225357033381487,-0.6624607329478531
80,medium,normal,80,Low Density,35.325,35.586759899204324,12.717,12.54784344788122,1.4130000000000003,2.1435838445148536,-0.37501189943941277
80,medium,normal,80,Medium Density,70.65,70.54210028540878,25.434,25.791381905387183,2.8260000000000005,2.8342799232891247,-0.5972709873471719
80,medium,normal,80,High Density,141.3,141.07990270087382,50.868,51.2062995657299,5.652000000000001,5.261540894998456,-0.3018285773939622
80,large,low,80,Low Density,4.415625,5.8538477153149815,1.589625,1.342717915966506,0.17662500000000003,-0.03138724092373968,-0.11882751119895779
80,large,low,80,Medium Density,8.83125,8.530250851790969,3.17925,2.9429230610329764,0.35325000000000006,0.3779008499340162,0.4189907408593563
80,large,low,80,High Density,17.6625,17.886712928884382,6.3585,5.724106259397633,0.7065000000000001,0.2657357927116607,0.25781231485262784
80,large,normal,80,Low Density,35.325,33.96833188587066,12.717,12.608620851200676,1.4130000000000003,1.5421410606970007,0.10413399616737443
80,large,normal,80,Medium Density,70.65,69.40031797047669,25.434,25.485275137777876,2.8260000000000005,3.323082428789893,0.3285077914818749
80,large,normal,80,High Density,141.3,140.03241534510855,50.868,49.479901150665995,5.652000000000001,5.624070749470334,-0.05233060497288705
100,small,low,100,Low Density,4.415625,3.8777824106373373,1.589625,1.7537370541980224,0.17662500000000003,0.25637365190789085,-0.02209112682006903
100,small,low,100,Medium Density,8.83125,8.845588338840992,3.17925,3.2429010489561976,0.35325000000000006,0.3818343231459298,-0.4722789824917711
100,small,low,100,High Density,17.6625,18.506176252590915,6.3585,6.344206731034944,0.7065000000000001,0.7777807819613944,0.08549295657671692
100,small,normal,100,Low Density,35.325,36.706690136464225,12.717,12.88733265279975,1.4130000000000003,1.9871936018877852,-0.7050238275822673
100,small,normal,100,Medium Density,70.65,70.7869431604278,25.434,25.295688618627114,2.8260000000000005,3.4255645240032986,0.015328771884603985
100,small,normal,100,High Density,141.3,142.02212335321283,50.868,50.82224212624882,5.652000000000001,5.439783521397378,-0.4391587439874302
100,medium,low,100,Low Density,4.415625,4.653114731865822,1.589625,0.7051679017972,0.17662500000000003,0.3233641500169313,-0.13906742867401237
100,medium,low,100,Medium Density,8.83125,9.07911971328084,3.17925,2.7366721340787823,0.35325000000000006,0.4702718755161557,0.17319750244692975
100,medium,low,100,High Density,17.6625,18.413436323391004,6.3585,5.916379238295526,0.7065000000000001,0.35906682652787236,-0.5718951121988399
100,medium,normal,100,Low Density,35.325,35.25595816401417,12.717,12.100190981502324,1.4130000000000003,1.1596435670364014,-0.6377977265480871
100,medium,normal,100,Medium Density,70.65,70.00052171619822,25.434,24.59375551160088,2.8260000000000005,2.8789827626980062,-0.5812913973532599
100,medium,normal,100,High Density,141.3,141.17573685018837,50.868,50.65264538015299,5.652000000000001,5.1241862071501885,0.2860588878140586
100,large,low,100,Low Density,4.415625,4.521750134369452,1.589625,1.9274104787536552,0.17662500000000003,-0.10347584743983379,-0.29051075699340373
100,large,low,100,Medium Density,8.83125,8.929154486249582,3.17925,3.3419010029795553,0.35325000000000006,0.029232455237905176,0.5162463176840085
100,large,low,100,High Density,17.6625,17.500582816399433,6.3585,6.6386681637453195,0.7065000000000001,0.654259753512983,0.10947760166275021
100,large,normal,100,Low Density,35.325,36.10710638341711,12.717,12.190078322625453,1.4130000000000003,1.7278576496581626,0.43466486664780285
100,large,normal,100,Medium Density,70.65,70.6339191832505,25.434,25.938354878767957,2.8260000000000005,3.240299086925915,-0.5946436923424369
100,large,normal,100,High Density,141.3,141.85684680099706,50.868,50.16546292587839,5.652000000000001,5.941825527697816,0.4490385542921484
120,small,low,120,Low Density,4.415625,4.1139276666506825,1.589625,0.5126390613206325,0.17662500000000003,-0.052477975592507844,-1.0404486532681354
120,small,low,120,Medium Density,8.83125,9.33441193654478,3.17925,2.7318738625010863,0.35325000000000006,0.4125862448901796,0.4255511855086618
120,small,low,120,High Density,17.6625,17.587722788699313,6.3585,6.880395778447545,0.7065000000000001,0.454477324191866,0.026053165976255
120,small,normal,120,Low Density,35.325,36.14221905685485,12.717,13.057841829757235,1.4130000000000003,1.6516154346312442,-0.3289695748957626
120,small,normal,120,Medium Density,70.65,70.89208601086735,25.434,25.889651637031722,2.8260000000000005,2.926132304084481,-0.12797238520739954
120,small,normal,120,High Density,141.3,141.7766260817869,50.868,50.302864735125645,5.652000000000001,5.500222217912746,-0.10488235061017502
120,medium,low,120,Low Density,4.415625,3.504923084787819,1.589625,1.6646102232782074,0.17662500000000003,0.0332071696922963,-0.4703852530978699
120,medium,low,120,Medium Density,8.83125,9.304248807481773,3.17925,2.4162059696851923,0.35325000000000006,0.27782295476854335,-0.13110238736769503
120,medium,low,120,High Density,17.6625,16.539384559614,6.3585,6.589278451394285,0.7065000000000001,0.7836090550918197,0.18924561258815403
120,medium,normal,120,Low Density,35.325,35.53468051839848,12.717,12.47895698233771,1.4130000000000003,1.3598443937595044,-0.28976431859120017
120,medium,normal,120,Medium Density,70.65,70.9227858608842,25.434,25.11663223640194,2.8260000000000005,2.8875473335498008,-0.3038424309983249
120,medium,normal,120,High Density,141.3,141.05637041334379,50.868,51.07025197357986,5.652000000000001,5.484938843250193,0.25521422986028003
120,large,low,120,Low Density,4.415625,4.720156027395342,1.589625,1.5687313699506555,0.17662500000000003,0.4299495564853425,-0.11289958930092235
120,large,low,120,Medium Density,8.83125,8.233245122422876,3.17925,4.037555881786008,0.35325000000000006,-0.13414637303705632,0.23260550739346364
120,large,low,120,High Density,17.6625,18.054279226762105,6.3585,5.601050666963018,0.7065000000000001,0.7209970382138822,0.3591055165122483
120,large,normal,120,Low Density,35.325,34.981114905735616,12.717,13.107023092250826,1.4130000000000003,1.7091119317914325,0.2907805897790096
